Plaza del Adelantado;Bajamar;Punta del Hidalgo;Ten-Bel;El Camisón;Los Cristianos;Martiánez;Playa de Mesa del Mar;Playa Jardín;San Marcos;Torviscas y Fañabé;Troya;Acantilados de los Gigantes;Auditorio de Tenerife;Basílica Nuestra Señora de la Candelaria;Parque del Drago;Parque Nacional del Teide;Barranco del Infierno;Rambla de Castro;Buenavista Golf;Centro de Golf Los Palos;Golf Costa Adeje;Golf del Sur;Golf Las Américas;Real Club de Golf de Tenerife;Tecina Golf;Abama Spa;Aequor spa;Aqua Club Termal;Centro de medicina Natural Océano;Caroli Health Club;Bahía del Duque Spa;Centro Wellness del Hotel Jardín Tropical;Spa Blue Sea Puerto Resort;Mare Nostrum Spa;Natural Wellness Spa;Riu Palace Body Love;Spa Atlantis;Bp San Felipe;Club Spa La Quinta Park;Spa Magek;Spa Royal Garden Villas;Spa Hotel Europe Villa Cortés;Spa Villalba;Thai Zen Space;Thalasso H10 Conquistador;Spa Nammu;The Oriental Spa Garden;Vitanova Spa Wellness;Centro Histórico de Santa Cruz de Tenerife;Centro Histórico de Garachico;Oficina de información turística Cabildo Aeropuerto Tenerife Sur;Oficina de información turística de Fañabé;Oficina de información turística de Icod de Los Vinos;Oficina de información turística del Médano;Oficina de información turística de Arona - Playa de las Américas;Oficina de información turística de Arona - Playa de las Vistas;Oficina de información turística de Plaza del Duque;Oficina de información turística Cabildo de Puerto de la Cruz;Oficina de información turística Cabildo Aeropuerto de Los Rodeos;Oficina de información turística de San Cristóbal de La Laguna;Oficina de información turística Cabildo Santa Cruz de Tenerife;Oficina de información turística de Costa Adeje - Troya;Centro Histórico de Adeje;Centro Histórico de Arona;Centro Histórico de Granadilla de Abona;Centro Histórico de Puerto de la Cruz;Centro Histórico de La Laguna;Centro Histórico de La Orotava;Caserío de Masca;Casa del Vino;Chinyero;Malpaís de Güímar;Montaña Roja y Montaña Pelada;Paisaje Lunar de Granadilla;Parque Natural de la Corona Forestal;Parque Rural de Anaga;Parque Rural de Teno;Aqualand Costa Adeje;Loro Parque;Parque Las Águilas-Jungle Park;Parque Marítimo César Manrique;Parque Etnográfico Pirámides de Güímar;PuebloChico;Siam Park;Abama;Amarilla Golf;Barakuda Diving Center;Blue Bottom Diving;Centro de Buceo Atlantik;Diversity-Escuela de Buceo;Centro de Buceo Ecosub Tenerife;Centro de Buceo el Cardumen;Marina de Santa Cruz;Marina de San Miguel;Charco de la Laja;Complejo Costa Martiánez;El Caletón;El Bollullo;El Duque;El Médano;El Socorro;La Arena;La Pinta;La Tejita;Las Teresitas;Las Vistas
Plaza del Adelantado;0;19;24;53;52;51;21;32;25;42;51;49;80;10;21;40;66;74;24;62;47;57;44;47;10;219;70;50;48;24;53;54;48;21;51;50;53;45;22;18;46;53;52;69;50;51;52;20;52;15;44;41;51;40;42;51;49;51;26;8;4;14;50;55;54;47;26;4;21;80;11;93;27;48;78;108;44;75;48;27;52;10;50;19;47;69;45;57;49;25;50;23;25;20;49;30;23;43;26;52;45;28;72;50;45;25;49
Bajamar;19;0;8;70;69;68;33;35;37;54;68;67;97;28;38;52;83;91;36;74;64;74;62;65;22;236;88;67;66;8;70;71;65;33;68;68;70;63;34;30;64;71;69;86;68;69;70;32;69;32;56;58;68;52;59;68;66;68;37;22;20;31;67;72;71;64;38;21;33;92;23;105;44;65;95;120;62;87;65;39;69;27;67;31;64;86;63;74;67;37;67;35;37;38;66;42;35;55;38;70;62;40;89;68;62;42;67
Punta del Hidalgo;23;6;0;74;73;72;37;39;41;58;72;71;101;31;42;56;87;95;40;78;68;78;66;69;26;240;92;71;70;4;74;75;69;37;72;72;74;66;38;34;68;74;73;90;72;72;73;36;73;36;60;62;72;56;63;72;70;72;41;26;24;35;71;76;75;68;42;25;37;96;27;109;48;69;99;124;66;91;69;43;73;31;71;35;68;90;67;78;71;41;71;39;41;42;70;46;38;59;42;73;66;44;93;72;66;46;71
Ten-Bel;52;69;74;0;20;19;67;78;71;84;18;17;47;49;42;80;69;44;70;94;11;25;16;15;56;187;38;18;16;73;20;22;16;67;19;19;21;16;68;64;18;21;20;39;18;20;20;67;20;54;84;16;18;81;21;19;17;19;72;54;54;53;18;22;22;26;72;53;67;62;57;88;43;26;59;117;84;78;16;73;20;48;88;66;15;37;17;24;17;71;17;69;71;59;20;76;69;83;72;20;24;74;39;18;22;64;18
El Camisón;51;69;73;21;0;5;66;77;70;77;12;7;40;48;42;73;63;39;70;87;11;18;16;7;56;173;31;11;9;73;14;15;9;67;0;3;14;17;68;64;18;14;5;34;11;4;13;66;13;53;77;16;12;74;20;6;6;12;71;53;53;52;7;15;16;26;71;53;67;55;57;81;43;27;59;110;83;71;9;73;12;48;82;65;8;30;17;18;10;71;10;69;71;58;21;76;68;76;71;13;23;74;33;11;22;63;4
Los Cristianos;53;70;74;22;7;0;68;78;72;78;13;9;42;50;43;75;64;40;71;88;13;19;17;8;57;169;33;12;11;74;15;16;10;68;6;7;15;18;69;65;20;15;8;35;13;8;15;67;14;55;79;17;13;75;22;8;8;13;72;55;55;53;9;17;17;28;73;54;68;56;58;83;44;28;61;112;84;73;10;74;14;49;84;66;9;31;19;19;12;72;11;70;72;60;22;77;70;77;73;14;25;75;34;12;24;64;3
Martiánez;22;35;39;68;67;66;0;36;5;29;66;65;81;26;36;27;58;89;11;49;62;72;60;63;16;234;88;65;64;39;68;69;63;4;66;66;68;61;1;11;62;69;67;85;66;67;68;4;67;30;31;56;66;27;57;66;64;66;7;19;23;30;65;70;69;62;8;22;9;67;13;80;42;63;93;95;60;62;63;9;67;25;53;6;62;87;61;72;65;8;65;2;7;36;64;17;1;30;12;68;60;15;78;66;60;40;65
Playa de Mesa del Mar;32;33;37;78;77;76;32;0;36;54;76;75;106;35;46;52;82;99;36;74;72;82;69;73;27;244;96;75;73;37;78;79;73;33;76;75;78;70;34;30;72;78;77;94;75;76;77;32;77;40;56;66;76;52;67;76;74;76;37;29;32;39;75;80;79;72;38;32;33;92;22;105;52;73;103;120;70;87;73;39;77;35;75;31;72;94;71;82;75;37;75;35;37;45;74;42;34;55;37;77;70;40;97;75;70;50;74
Playa Jardín;26;39;44;73;71;71;8;40;0;27;70;69;79;30;41;25;61;94;9;47;67;77;64;67;21;238;86;70;68;43;72;74;68;7;71;70;73;65;7;15;66;73;71;88;70;71;72;7;72;35;29;60;70;25;62;70;69;71;6;24;27;34;70;74;74;67;6;27;12;65;17;77;47;68;97;93;64;60;68;4;71;29;56;7;67;85;65;76;69;2;69;6;5;40;69;15;9;28;17;72;65;13;76;70;65;45;69
San Marcos;44;57;61;88;79;78;30;58;28;0;73;75;62;48;58;8;79;107;26;31;78;75;83;73;39;246;70;72;73;61;74;75;73;31;78;77;74;84;32;33;85;72;79;97;73;78;73;30;75;52;13;78;73;8;79;76;76;73;31;42;45;52;76;74;83;85;31;45;30;48;35;61;64;86;115;76;82;44;73;29;80;47;74;26;75;68;84;74;72;27;74;31;31;58;87;17;32;12;35;75;83;26;59;75;83;63;76
Torviscas y Fañabé;50;67;72;20;11;10;65;76;69;71;0;7;35;47;41;68;63;39;68;82;10;12;15;5;55;178;26;3;5;72;6;7;5;65;10;10;7;16;67;62;17;9;11;33;4;11;6;65;5;52;72;15;0;68;19;9;8;4;70;52;52;51;8;10;16;25;70;52;66;50;55;76;41;25;58;105;82;66;5;72;12;46;82;64;7;24;16;12;5;69;6;68;69;57;20;76;67;70;70;6;22;73;27;7;21;62;9
Troya;50;67;72;19;9;9;65;76;69;74;8;0;38;47;40;71;63;39;68;85;10;15;15;5;54;177;29;9;7;71;12;13;4;65;8;8;12;16;66;62;17;12;9;33;9;9;11;65;11;52;75;14;8;71;19;7;8;10;70;52;52;51;0;13;15;25;70;51;65;53;55;79;41;25;58;108;82;69;6;71;12;46;82;64;5;27;16;15;8;69;6;68;69;57;19;74;67;73;70;11;22;72;30;7;21;62;7
Acantilados de los Gigantes;80;97;101;49;40;40;79;107;77;60;35;37;0;76;70;57;65;68;75;71;40;36;44;35;84;208;22;34;35;101;35;36;34;79;40;39;36;45;81;82;46;33;40;63;35;40;35;79;36;82;61;44;35;57;49;38;38;35;80;82;82;80;37;35;45;55;80;81;79;39;84;65;71;55;87;94;111;55;34;78;42;76;84;75;36;21;46;31;34;76;35;80;80;87;49;66;81;59;84;36;52;75;9;36;51;91;38
Auditorio de Tenerife;10;28;32;51;50;49;25;36;29;47;49;48;78;0;19;45;72;72;29;67;45;55;42;45;15;217;68;48;46;32;51;52;46;26;49;48;51;43;27;23;44;51;50;67;48;49;50;25;50;8;49;39;49;45;40;49;47;49;30;12;12;4;48;53;52;45;30;12;26;85;16;98;25;46;76;113;38;80;46;32;50;2;55;24;45;67;44;55;48;30;48;28;30;10;47;35;27;48;30;50;43;33;70;48;43;15;47
Basílica Nuestra Señora de la Candelaria;20;38;42;44;43;42;35;46;39;57;42;41;71;17;0;55;71;65;38;77;38;48;36;39;25;210;62;41;40;42;44;45;39;35;42;42;44;37;37;33;38;45;43;60;42;43;44;35;43;22;59;32;42;55;33;42;40;42;40;22;22;21;41;46;45;38;40;22;36;86;25;107;17;39;69;123;52;90;39;42;43;16;54;34;38;60;37;48;41;39;41;38;40;27;40;45;37;58;40;44;36;43;63;42;36;32;41
Parque del Drago;43;56;60;80;71;71;29;57;27;10;66;68;54;46;57;0;78;99;25;29;70;68;75;66;37;238;62;65;66;60;66;67;65;29;70;70;67;76;30;32;77;64;71;89;65;71;66;29;67;51;12;75;66;7;80;69;69;66;30;40;43;50;68;67;76;85;30;43;28;41;34;53;63;86;114;69;81;42;65;28;72;46;72;24;67;60;76;66;65;26;66;30;29;57;80;15;31;11;33;67;83;25;52;67;81;61;69
Parque Nacional del Teide;66;80;84;68;61;61;53;81;57;74;61;60;63;70;71;72;0;54;55;94;59;64;62;58;61;228;62;61;58;84;62;63;58;54;60;60;62;63;55;56;64;60;61;31;61;61;61;53;63;75;76;62;61;72;66;61;59;62;57;65;66;74;60;62;50;55;57;66;51;65;58;29;76;72;66;99;104;81;58;59;53;69;25;51;57;60;63;62;60;56;59;56;57;80;66;62;55;75;58;63;69;60;60;60;68;85;59
Barranco del Infierno;76;93;98;45;37;36;91;102;95;102;37;35;65;73;66;98;56;0;94;112;35;43;41;33;80;204;56;36;34;98;38;40;34;91;36;36;39;42;92;88;44;39;37;26;36;37;38;91;38;78;102;40;37;99;45;37;34;37;96;78;78;77;36;40;27;38;96;78;91;80;81;60;67;52;62;135;108;96;34;97;27;72;75;90;33;55;43;42;35;95;35;94;95;83;46;100;93;101;96;38;48;99;58;36;48;88;35
Rambla de Castro;38;51;56;85;83;83;25;52;22;21;84;81;73;42;53;19;73;106;0;41;79;86;76;79;33;250;80;83;80;55;85;86;80;25;83;82;85;77;26;27;78;83;83;100;84;83;84;24;85;47;23;72;84;19;74;82;81;84;25;36;39;46;82;85;86;79;26;39;24;59;29;72;59;80;109;87;76;54;80;24;83;41;68;20;79;79;77;85;83;21;85;25;25;52;81;9;27;22;29;86;77;7;70;85;77;57;81
Buenavista Golf;62;75;79;93;84;83;48;76;46;30;78;80;67;66;76;27;97;112;44;0;83;81;88;78;57;251;75;78;78;79;79;80;78;49;83;83;79;89;50;51;90;77;84;102;78;83;78;48;80;70;19;87;78;27;92;82;81;79;49;60;63;70;81;79;89;98;49;63;48;32;53;66;82;98;131;88;100;24;78;47;85;65;92;44;80;73;89;79;77;45;79;49;49;76;93;35;50;18;53;80;95;44;64;80;94;81;82
Centro de Golf Los Palos;48;65;69;12;14;13;63;74;67;77;12;11;41;45;38;74;62;38;66;87;0;18;13;9;52;181;32;11;10;69;14;15;9;63;13;12;14;13;64;60;15;14;14;33;12;13;13;62;13;50;77;12;12;74;17;12;11;12;68;50;50;48;11;16;15;23;68;49;63;55;53;82;39;23;56;111;79;72;9;69;13;44;81;61;8;30;14;18;11;67;11;65;67;55;17;72;65;76;68;13;20;70;33;11;19;59;11
Golf Costa Adeje;58;75;79;27;18;18;73;83;77;75;11;15;38;54;48;71;67;46;76;85;18;0;22;13;62;186;29;10;13;79;7;8;12;73;18;17;8;23;74;70;24;4;18;41;11;18;9;72;11;60;75;22;11;72;27;16;16;9;77;60;59;58;15;11;23;32;78;59;73;53;63;79;49;33;65;108;89;69;12;79;20;54;86;71;14;27;23;15;12;77;13;75;77;65;27;80;74;73;78;11;30;80;30;14;28;69;16
Golf del Sur;44;62;66;17;17;16;59;70;63;81;16;15;45;41;35;78;63;39;63;92;12;22;0;13;49;184;36;15;14;66;18;19;13;60;16;16;19;3;61;57;9;19;17;33;16;17;18;59;18;47;82;9;16;78;14;16;14;16;64;46;46;45;15;20;19;19;65;46;60;60;50;86;36;17;52;115;76;76;14;66;17;41;81;58;13;34;3;22;15;64;15;62;64;51;7;69;61;80;64;18;15;67;37;16;13;56;15
Golf Las Américas;47;64;69;16;8;7;62;73;66;71;6;4;35;44;37;68;60;36;65;82;7;12;12;0;51;175;26;6;4;69;8;9;4;62;7;6;9;13;63;59;14;9;8;30;6;7;8;62;8;49;72;11;6;68;16;5;5;7;67;49;49;48;5;10;12;22;67;49;62;50;52;76;38;22;55;105;79;66;4;68;9;43;79;61;4;24;13;12;5;66;6;65;66;54;16;71;64;70;67;8;19;70;27;6;18;59;5
Real Club de Golf de Tenerife;10;22;26;56;55;54;17;27;21;39;54;53;83;14;24;37;67;77;21;59;50;60;48;51;0;222;74;53;52;26;56;57;51;18;54;54;57;49;19;15;50;57;55;72;54;55;56;17;56;18;41;44;54;37;45;54;52;54;22;8;11;18;53;58;57;50;22;10;18;77;8;90;30;52;81;105;48;72;52;24;55;13;53;16;51;72;49;60;53;22;53;20;22;24;52;27;19;40;22;56;48;25;75;54;49;28;53
Tecina Golf;218;236;240;188;173;169;233;244;237;244;178;174;207;215;209;240;230;206;236;254;178;185;183;174;223;0;198;178;176;240;180;182;175;233;172;173;181;184;235;231;185;181;174;201;178;174;180;233;180;220;244;183;178;241;187;173;173;179;238;220;220;219;175;182;183;193;238;220;234;222;223;248;209;194;226;277;250;238;176;240;179;214;249;232;175;197;184;184;177;237;177;236;238;225;188;243;235;243;238;180;190;241;199;178;189;230;169
Abama Spa;62;79;84;32;23;22;77;88;85;68;17;19;22;59;52;65;63;51;83;78;22;19;27;17;66;190;0;16;17;84;18;19;17;77;22;21;18;28;78;74;29;15;23;45;17;22;17;77;19;64;68;26;17;65;31;20;20;17;82;64;64;63;20;17;27;37;82;64;77;46;67;73;53;37;70;102;94;63;17;86;24;58;82;76;19;2;28;14;16;84;18;80;81;69;31;73;79;67;82;19;34;83;14;19;33;74;20
Aequor spa;50;68;72;20;11;10;65;76;69;71;1;8;35;47;41;68;63;39;68;82;10;12;15;6;55;178;26;0;5;72;6;7;5;65;10;10;7;16;67;63;17;9;11;34;4;11;6;65;6;52;72;15;1;68;19;9;8;4;70;52;52;51;8;10;16;25;70;52;66;50;55;76;41;26;58;105;82;66;5;72;12;46;83;64;7;24;16;12;5;69;6;68;70;57;20;77;67;70;70;6;22;73;27;7;21;62;9
Aqua Club Termal;48;66;70;18;9;9;63;74;67;69;4;6;33;45;39;66;61;37;67;80;8;10;13;4;53;176;24;3;0;70;6;7;3;64;8;8;6;14;65;61;15;7;9;32;4;9;6;63;5;51;70;13;4;66;18;7;7;4;68;50;50;49;6;8;14;23;69;50;64;48;54;74;40;24;56;103;80;64;3;70;10;45;81;62;6;22;14;10;2;68;4;66;68;55;18;75;65;68;68;5;21;71;25;5;19;60;7
